TREE0_LABEL	TREE0_HEAD	TREE0_HEADPOS	TREE0_LEFTCHILD	TREE0_RIGHTCHILD	TREE1_LABEL	TREE1_HEAD	TREE1_HEADPOS	TREE1_LEFTCHILD	TREE1_RIGHTCHILD	TREE2_LABEL	TREE2_HEAD	TREE2_HEADPOS	TREE3_LABEL	TREE3_HEAD	ANTECEDENT_CARRIED	WORD_NEXT0_LEX	WORD_NEXT0_POS	ACTION	ACTION_RESULT_LABEL	ACTION_PREV	FREQ	ACTIVATION
VB	know	 			NP	you	PRP	PRP		VBP	do	 	NOPOS	noword	NO	what	WP	shift	''	shift	1	-9.294198074178478
WP	what	 			VB	know	 			NP	you	PRP	VBP	do	NO	vapor	NN	reduce_unary	WHNP	shift	1	-9.294198074178478
WHNP	what	WP	WP		VB	know	 			NP	you	PRP	VBP	do	YES	vapor	NN	shift	''	reduce_unary	1	-9.294198074178478
NN	vapor	 			WHNP	what	WP	WP		VB	know	 	NP	you	YES	be	VBZ	reduce_unary	NP	shift	1	-9.294198074178478
NP	vapor	NN	NN		WHNP	what	WP	WP		VB	know	 	NP	you	YES	be	VBZ	shift	''	reduce_unary	1	-9.294198074178478
VBZ	be	 			NP	vapor	NN	NN		WHNP	what	WP	VB	know	YES	?	.	postulate_gap	*t*	shift	1	-9.294198074178478
-NONE-	*t*	 			VBZ	be	 			NP	vapor	NN	WHNP	what	NO	?	.	reduce_unary	NP	postulate_gap	1	-9.294198074178478
NP	*t*	-NONE-	-NONE-		VBZ	be	 			NP	vapor	NN	WHNP	what	NO	?	.	reduce_unary	VP_BAR	reduce_unary	1	-9.294198074178478
VP_BAR	be	VBZ	NP		VBZ	be	 			NP	vapor	NN	WHNP	what	NO	?	.	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	be	VBZ	VBZ	NP	NP	vapor	NN	NN		WHNP	what	WP	VB	know	NO	?	.	reduce_unary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	be	VBZ	VP		NP	vapor	NN	NN		WHNP	what	WP	VB	know	NO	?	.	reduce_binary	S	reduce_unary	1	-9.294198074178478
S	be	VBZ	NP	VP	WHNP	what	WP	WP		VB	know	 	NP	you	NO	?	.	reduce_unary	SBAR_BAR	reduce_binary	1	-9.294198074178478
SBAR_BAR	what	WP	S		WHNP	what	WP	WP		VB	know	 	NP	you	NO	?	.	reduce_binary	SBAR	reduce_unary	1	-9.294198074178478
SBAR	what	WP	WHNP	S	VB	know	 			NP	you	PRP	VBP	do	NO	?	.	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	know	VB	SBAR		VB	know	 			NP	you	PRP	VBP	do	NO	?	.	reduce_binary	VP	reduce_unary	2	-8.947624483898506
VP	know	VB	VB	SBAR	NP	you	PRP	PRP		VBP	do	 	NOPOS	noword	NO	?	.	shift	''	reduce_binary	1	-9.294198074178478
.	?	 			VP	know	VB	VB	SBAR	NP	you	PRP	VBP	do	NO	?	.	reduce_unary	SQ_BAR	shift	1	-9.294198074178478
SQ_BAR	 	 	.		VP	know	VB	VB	SBAR	NP	you	PRP	VBP	do	NO	?	.	reduce_binary	SQ_BAR	reduce_unary	1	-9.294198074178478
SQ_BAR	 	 	VP	.	NP	you	PRP	PRP		VBP	do	 	NOPOS	noword	NO	?	.	reduce_binary	SQ_BAR	reduce_binary	1	-9.294198074178478
SQ_BAR	 	 	NP	VP	VBP	do	 			NOPOS	noword	 		 	NO	?	.	reduce_binary	SQ	reduce_binary	1	-9.294198074178478
SQ	 	 	VBP	NP	NOPOS	noword	 				 	 		 	NO	?	.	reduce_unary	ROOT	reduce_binary	1	-9.294198074178478
PRP	you	 			IN	if	 			NOPOS	noword	 		 	NO	breathe	VB	reduce_unary	NP	shift	1	-9.294198074178478
NP	you	PRP	PRP		IN	if	 			NOPOS	noword	 		 	NO	breathe	VB	shift	''	reduce_unary	1	-9.294198074178478
VB	breathe	 			NP	you	PRP	PRP		IN	if	 	NOPOS	noword	NO	into	IN	shift	''	shift	1	-9.294198074178478
IN	into	 			VB	breathe	 			NP	you	PRP	IN	if	NO	the	DT	shift	''	shift	1	-9.294198074178478
DT	the	 			IN	into	 			VB	breathe	 	NP	you	NO	air	NN	shift	''	shift	1	-9.294198074178478
NN	air	 			DT	the	 			IN	into	 	VB	breathe	NO	,	,	reduce_unary	NP_BAR	shift	1	-9.294198074178478
NP_BAR	air	NN	NN		DT	the	 			IN	into	 	VB	breathe	NO	,	,	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	air	NN	DT	NN	IN	into	 			VB	breathe	 	NP	you	NO	,	,	reduce_unary	PP_BAR	reduce_binary	1	-9.294198074178478
PP_BAR	into	IN	NP		IN	into	 			VB	breathe	 	NP	you	NO	,	,	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	into	IN	IN	NP	VB	breathe	 			NP	you	PRP	IN	if	NO	,	,	shift	''	reduce_binary	1	-9.294198074178478
,	,	 			PP	into	IN	IN	NP	VB	breathe	 	NP	you	NO	when	WRB	shift	''	shift	1	-9.294198074178478
WRB	when	 			,	,	 			PP	into	IN	VB	breathe	NO	it	PRP	reduce_unary	WHADVP	shift	1	-9.294198074178478
WHADVP	when	WRB	WRB		,	,	 			PP	into	IN	VB	breathe	YES	it	PRP	shift	''	reduce_unary	1	-9.294198074178478
PRP	it	 			WHADVP	when	WRB	WRB		,	,	 	PP	into	YES	be	VBZ	reduce_unary	NP	shift	1	-9.294198074178478
NP	it	PRP	PRP		WHADVP	when	WRB	WRB		,	,	 	PP	into	YES	be	VBZ	postulate_gap	*t*	reduce_unary	1	-9.294198074178478
-NONE-	*t*	 			NP	it	PRP	PRP		WHADVP	when	WRB	,	,	NO	be	VBZ	reduce_unary	ADVP-TMP	postulate_gap	1	-9.294198074178478
ADVP-TMP	 	 	-NONE-		NP	it	PRP	PRP		WHADVP	when	WRB	,	,	NO	be	VBZ	shift	''	reduce_unary	1	-9.294198074178478
VBZ	be	 			ADVP-TMP	 	 	-NONE-		NP	it	PRP	WHADVP	when	NO	cold	JJ	shift	''	shift	1	-9.294198074178478
JJ	cold	 			VBZ	be	 			ADVP-TMP	 	 	NP	it	NO	enough	RB	shift	''	shift	1	-9.294198074178478
RB	enough	 			JJ	cold	 			VBZ	be	 	ADVP-TMP	 	NO	,	,	reduce_unary	ADJP_BAR	shift	1	-9.294198074178478
ADJP_BAR	cold	JJ	RB		JJ	cold	 			VBZ	be	 	ADVP-TMP	 	NO	,	,	reduce_binary	ADJP	reduce_unary	1	-9.294198074178478
ADJP	cold	JJ	JJ	RB	VBZ	be	 			ADVP-TMP	 	 	NP	it	NO	,	,	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	be	VBZ	ADJP		VBZ	be	 			ADVP-TMP	 	 	NP	it	NO	,	,	reduce_binary	VP_BAR	reduce_unary	1	-9.294198074178478
VP_BAR	be	VBZ	VBZ	ADJP	ADVP-TMP	 	 	-NONE-		NP	it	PRP	WHADVP	when	NO	,	,	reduce_binary	VP	reduce_binary	1	-9.294198074178478
VP	be	VBZ	ADVP-TMP	VBZ	NP	it	PRP	PRP		WHADVP	when	WRB	,	,	NO	,	,	reduce_unary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	be	VBZ	VP		NP	it	PRP	PRP		WHADVP	when	WRB	,	,	NO	,	,	reduce_binary	S	reduce_unary	1	-9.294198074178478
S	be	VBZ	NP	VP	WHADVP	when	WRB	WRB		,	,	 	PP	into	NO	,	,	reduce_unary	SBAR_BAR	reduce_binary	1	-9.294198074178478
SBAR_BAR	when	WRB	S		WHADVP	when	WRB	WRB		,	,	 	PP	into	NO	,	,	reduce_binary	SBAR	reduce_unary	1	-9.294198074178478
SBAR	when	WRB	WHADVP	S	,	,	 			PP	into	IN	VB	breathe	NO	,	,	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	breathe	VB	SBAR		,	,	 			PP	into	IN	VB	breathe	NO	,	,	reduce_binary	VP_BAR	reduce_unary	1	-9.294198074178478
VP_BAR	breathe	VB	,	SBAR	PP	into	IN	IN	NP	VB	breathe	 	NP	you	NO	,	,	reduce_binary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	breathe	VB	PP	,	VB	breathe	 			NP	you	PRP	IN	if	NO	,	,	reduce_binary	VP	reduce_binary	1	-9.294198074178478
VP	breathe	VB	VB	PP	NP	you	PRP	PRP		IN	if	 	NOPOS	noword	NO	,	,	reduce_unary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	breathe	VB	VP		NP	you	PRP	PRP		IN	if	 	NOPOS	noword	NO	,	,	reduce_binary	S	reduce_unary	1	-9.294198074178478
S	breathe	VB	NP	VP	IN	if	 			NOPOS	noword	 		 	NO	,	,	reduce_unary	SBAR_BAR	reduce_binary	1	-9.294198074178478
PRP	you	 			,	,	 			SBAR	if	IN	NOPOS	noword	NO	will	MD	reduce_unary	NP	shift	1	-9.294198074178478
NP	you	PRP	PRP		,	,	 			SBAR	if	IN	NOPOS	noword	NO	will	MD	shift	''	reduce_unary	1	-9.294198074178478
MD	will	 			NP	you	PRP	PRP		,	,	 	SBAR	if	NO	see	VB	shift	''	shift	1	-9.294198074178478
VB	see	 			MD	will	 			NP	you	PRP	,	,	NO	it	PRP	shift	''	shift	1	-9.294198074178478
PRP	it	 			VB	see	 			MD	will	 	NP	you	NO	come	VBG	reduce_unary	NP	shift	1	-9.294198074178478
NP	it	PRP	PRP		VB	see	 			MD	will	 	NP	you	NO	come	VBG	shift	''	reduce_unary	1	-9.294198074178478
VBG	come	 			NP	it	PRP	PRP		VB	see	 	MD	will	NO	out	RB	shift	''	shift	1	-9.294198074178478
RB	out	 			VBG	come	 			NP	it	PRP	VB	see	NO	of	IN	shift	''	shift	1	-9.294198074178478
IN	of	 			RB	out	 			VBG	come	 	NP	it	NO	your	PRPtranslated_dollar	shift	''	shift	1	-9.294198074178478
PRPtranslated_dollar	your	 			IN	of	 			RB	out	 	VBG	come	NO	mouth	NN	shift	''	shift	1	-9.294198074178478
NN	mouth	 			PRPtranslated_dollar	your	 			IN	of	 	RB	out	NO	thick	RB	reduce_unary	NP_BAR	shift	1	-9.294198074178478
NP_BAR	mouth	NN	NN		PRPtranslated_dollar	your	 			IN	of	 	RB	out	NO	thick	RB	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	mouth	NN	PRPtranslated_dollar	NN	IN	of	 			RB	out	 	VBG	come	NO	thick	RB	reduce_unary	PP_BAR	reduce_binary	1	-9.294198074178478
PP_BAR	of	IN	NP		IN	of	 			RB	out	 	VBG	come	NO	thick	RB	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	of	IN	IN	NP	RB	out	 			VBG	come	 	NP	it	NO	thick	RB	reduce_unary	ADVP_BAR	reduce_binary	1	-9.294198074178478
ADVP_BAR	out	RB	PP		RB	out	 			VBG	come	 	NP	it	NO	thick	RB	reduce_binary	ADVP	reduce_unary	1	-9.294198074178478
ADVP	out	RB	RB	PP	VBG	come	 			NP	it	PRP	VB	see	NO	thick	RB	shift	''	reduce_binary	1	-9.294198074178478
RB	thick	 			ADVP	out	RB	RB	PP	VBG	come	 	NP	it	NO	and	CC	shift	''	shift	1	-9.294198074178478
CC	and	 			RB	thick	 			ADVP	out	RB	VBG	come	NO	fast	RB	shift	''	shift	1	-9.294198074178478
RB	fast	 			CC	and	 			RB	thick	 	ADVP	out	NO	like	RB	reduce_unary	ADVP_BAR	shift	1	-9.294198074178478
ADVP_BAR	fast	RB	RB		CC	and	 			RB	thick	 	ADVP	out	NO	like	RB	reduce_binary	ADVP_BAR	reduce_unary	1	-9.294198074178478
ADVP_BAR	fast	RB	CC	RB	RB	thick	 			ADVP	out	RB	VBG	come	NO	like	RB	reduce_binary	ADVP	reduce_binary	1	-9.294198074178478
ADVP	fast	RB	RB	CC	ADVP	out	RB	RB	PP	VBG	come	 	NP	it	NO	like	RB	shift	''	reduce_binary	1	-9.294198074178478
RB	like	 			ADVP	fast	RB	RB	CC	ADVP	out	RB	VBG	come	NO	steam	NN	shift	''	shift	1	-9.294198074178478
NN	steam	 			RB	like	 			ADVP	fast	RB	ADVP	out	NO	.	.	reduce_unary	ADVP_BAR	shift	1	-9.294198074178478
ADVP_BAR	like	RB	NN		RB	like	 			ADVP	fast	RB	ADVP	out	NO	.	.	reduce_binary	ADVP	reduce_unary	1	-9.294198074178478
ADVP	like	RB	RB	NN	ADVP	fast	RB	RB	CC	ADVP	out	RB	VBG	come	NO	.	.	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	come	VBG	ADVP		ADVP	fast	RB	RB	CC	ADVP	out	RB	VBG	come	NO	.	.	reduce_binary	VP_BAR	reduce_unary	1	-9.294198074178478
VP_BAR	come	VBG	ADVP	ADVP	ADVP	out	RB	RB	PP	VBG	come	 	NP	it	NO	.	.	reduce_binary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	come	VBG	ADVP	ADVP	VBG	come	 			NP	it	PRP	VB	see	NO	.	.	reduce_binary	VP	reduce_binary	1	-9.294198074178478
VP	come	VBG	VBG	ADVP	NP	it	PRP	PRP		VB	see	 	MD	will	NO	.	.	reduce_unary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	come	VBG	VP		NP	it	PRP	PRP		VB	see	 	MD	will	NO	.	.	reduce_binary	S	reduce_unary	1	-9.294198074178478
S	come	VBG	NP	VP	VB	see	 			MD	will	 	NP	you	NO	.	.	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	come	VBG	S		VB	see	 			MD	will	 	NP	you	NO	.	.	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	come	VBG	VB	S	MD	will	 			NP	you	PRP	,	,	NO	.	.	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	come	VBG	VP		MD	will	 			NP	you	PRP	,	,	NO	.	.	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	come	VBG	MD	VP	NP	you	PRP	PRP		,	,	 	SBAR	if	NO	.	.	shift	''	reduce_binary	1	-9.294198074178478
.	.	 			VP	come	VBG	MD	VP	NP	you	PRP	,	,	NO	.	.	reduce_unary	S_BAR	shift	1	-9.294198074178478
S_BAR	come	VBG	.		VP	come	VBG	MD	VP	NP	you	PRP	,	,	NO	.	.	reduce_binary	S_BAR	reduce_unary	1	-9.294198074178478
S_BAR	come	VBG	VP	.	NP	you	PRP	PRP		,	,	 	SBAR	if	NO	.	.	reduce_binary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	come	VBG	NP	VP	,	,	 			SBAR	if	IN	NOPOS	noword	NO	.	.	reduce_binary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	come	VBG	,	NP	SBAR	if	IN	IN	S	NOPOS	noword	 		 	NO	.	.	reduce_binary	S	reduce_binary	1	-9.294198074178478
S	come	VBG	SBAR	,	NOPOS	noword	 				 	 		 	NO	.	.	reduce_unary	ROOT	reduce_binary	1	-9.294198074178478
NOPOS	noword	 				 	 				 	 		 	NO	when	WRB	shift	''		6	-8.398318339564453
WRB	when	 			NOPOS	noword	 				 	 		 	NO	the	DT	reduce_unary	WHADVP	shift	2	-8.947624483898506
WHADVP	when	WRB	WRB		NOPOS	noword	 				 	 		 	YES	the	DT	shift	''	reduce_unary	1	-9.294198074178478
DT	the	 			WHADVP	when	WRB	WRB		NOPOS	noword	 		 	YES	vapor	NN	shift	''	shift	1	-9.294198074178478
NN	vapor	 			DT	the	 			WHADVP	when	WRB	NOPOS	noword	YES	be	VBZ	reduce_unary	NP_BAR	shift	1	-9.294198074178478
NP_BAR	vapor	NN	NN		DT	the	 			WHADVP	when	WRB	NOPOS	noword	YES	be	VBZ	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	vapor	NN	DT	NN	WHADVP	when	WRB	WRB		NOPOS	noword	 		 	YES	be	VBZ	postulate_gap	*t*	reduce_binary	1	-9.294198074178478
-NONE-	*t*	 			NP	vapor	NN	DT	NN	WHADVP	when	WRB	NOPOS	noword	NO	be	VBZ	reduce_unary	ADVP-TMP	postulate_gap	1	-9.294198074178478
ADVP-TMP	 	 	-NONE-		NP	vapor	NN	DT	NN	WHADVP	when	WRB	NOPOS	noword	NO	be	VBZ	shift	''	reduce_unary	1	-9.294198074178478
VBZ	be	 			ADVP-TMP	 	 	-NONE-		NP	vapor	NN	WHADVP	when	NO	quite	RB	shift	''	shift	1	-9.294198074178478
RB	quite	 			VBZ	be	 			ADVP-TMP	 	 	NP	vapor	NO	near	IN	shift	''	shift	1	-9.294198074178478
IN	near	 			RB	quite	 			VBZ	be	 	ADVP-TMP	 	NO	the	DT	shift	''	shift	1	-9.294198074178478
DT	the	 			IN	near	 			RB	quite	 	VBZ	be	NO	earth	NN	shift	''	shift	1	-9.294198074178478
NN	earth	 			DT	the	 			IN	near	 	RB	quite	NO	,	,	reduce_unary	NP_BAR	shift	1	-9.294198074178478
NP_BAR	earth	NN	NN		DT	the	 			IN	near	 	RB	quite	NO	,	,	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	earth	NN	DT	NN	IN	near	 			RB	quite	 	VBZ	be	NO	,	,	reduce_unary	PP_BAR	reduce_binary	1	-9.294198074178478
PP_BAR	near	IN	NP		IN	near	 			RB	quite	 	VBZ	be	NO	,	,	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	near	IN	IN	NP	RB	quite	 			VBZ	be	 	ADVP-TMP	 	NO	,	,	reduce_unary	PP_BAR	reduce_binary	1	-9.294198074178478
PP_BAR	near	IN	PP		RB	quite	 			VBZ	be	 	ADVP-TMP	 	NO	,	,	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	near	IN	RB	PP	VBZ	be	 			ADVP-TMP	 	 	NP	vapor	NO	,	,	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	be	VBZ	PP		VBZ	be	 			ADVP-TMP	 	 	NP	vapor	NO	,	,	reduce_binary	VP_BAR	reduce_unary	1	-9.294198074178478
VP_BAR	be	VBZ	VBZ	PP	ADVP-TMP	 	 	-NONE-		NP	vapor	NN	WHADVP	when	NO	,	,	reduce_binary	VP	reduce_binary	1	-9.294198074178478
VP	be	VBZ	ADVP-TMP	VBZ	NP	vapor	NN	DT	NN	WHADVP	when	WRB	NOPOS	noword	NO	,	,	reduce_unary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	be	VBZ	VP		NP	vapor	NN	DT	NN	WHADVP	when	WRB	NOPOS	noword	NO	,	,	reduce_binary	S	reduce_unary	1	-9.294198074178478
S	be	VBZ	NP	VP	WHADVP	when	WRB	WRB		NOPOS	noword	 		 	NO	,	,	reduce_unary	SBAR-TMP_BAR	reduce_binary	1	-9.294198074178478
SBAR-TMP_BAR	when	WRB	S		WHADVP	when	WRB	WRB		NOPOS	noword	 		 	NO	,	,	reduce_binary	SBAR-TMP	reduce_unary	5	-8.48947911796143
SBAR-TMP	when	WRB	WHADVP	S	NOPOS	noword	 				 	 		 	NO	,	,	shift	''	reduce_binary	5	-8.48947911796143
,	,	 			SBAR-TMP	when	WRB	WHADVP	S	NOPOS	noword	 		 	NO	we	PRP	shift	''	shift	1	-9.294198074178478
PRP	we	 			,	,	 			SBAR-TMP	when	WRB	NOPOS	noword	NO	call	VBP	reduce_unary	NP	shift	1	-9.294198074178478
NP	we	PRP	PRP		,	,	 			SBAR-TMP	when	WRB	NOPOS	noword	NO	call	VBP	shift	''	reduce_unary	1	-9.294198074178478
VBP	call	 			NP	we	PRP	PRP		,	,	 	SBAR-TMP	when	NO	it	PRP	shift	''	shift	1	-9.294198074178478
PRP	it	 			VBP	call	 			NP	we	PRP	,	,	NO	``	``	reduce_unary	NP	shift	1	-9.294198074178478
NP	it	PRP	PRP		VBP	call	 			NP	we	PRP	,	,	NO	``	``	shift	''	reduce_unary	1	-9.294198074178478
``	``	 			NP	it	PRP	PRP		VBP	call	 	NP	we	NO	fog	JJ	shift	''	shift	1	-9.294198074178478
JJ	fog	 			``	``	 			NP	it	PRP	VBP	call	NO	translated_apostranslated_apos	''	reduce_unary	ADJP	shift	1	-9.294198074178478
ADJP	fog	JJ	JJ		``	``	 			NP	it	PRP	VBP	call	NO	translated_apostranslated_apos	''	shift	''	reduce_unary	1	-9.294198074178478
''	''	 			ADJP	fog	JJ	JJ		``	``	 	NP	it	NO	.	.	reduce_unary	S_BAR	shift	1	-9.294198074178478
S_BAR	 	 	''		ADJP	fog	JJ	JJ		``	``	 	NP	it	NO	.	.	reduce_binary	S_BAR	reduce_unary	1	-9.294198074178478
S_BAR	 	 	ADJP	''	``	``	 			NP	it	PRP	VBP	call	NO	.	.	reduce_binary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	 	 	``	ADJP	NP	it	PRP	PRP		VBP	call	 	NP	we	NO	.	.	reduce_binary	S	reduce_binary	1	-9.294198074178478
S	 	 	NP	``	VBP	call	 			NP	we	PRP	,	,	NO	.	.	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	call	VBP	S		VBP	call	 			NP	we	PRP	,	,	NO	.	.	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	call	VBP	VBP	S	NP	we	PRP	PRP		,	,	 	SBAR-TMP	when	NO	.	.	shift	''	reduce_binary	1	-9.294198074178478
.	.	 			VP	call	VBP	VBP	S	NP	we	PRP	,	,	NO	.	.	reduce_unary	S_BAR	shift	1	-9.294198074178478
S_BAR	call	VBP	.		VP	call	VBP	VBP	S	NP	we	PRP	,	,	NO	.	.	reduce_binary	S_BAR	reduce_unary	1	-9.294198074178478
S_BAR	call	VBP	VP	.	NP	we	PRP	PRP		,	,	 	SBAR-TMP	when	NO	.	.	reduce_binary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	call	VBP	NP	VP	,	,	 			SBAR-TMP	when	WRB	NOPOS	noword	NO	.	.	reduce_binary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	call	VBP	,	NP	SBAR-TMP	when	WRB	WHADVP	S	NOPOS	noword	 		 	NO	.	.	reduce_binary	S	reduce_binary	1	-9.294198074178478
S	call	VBP	SBAR-TMP	,	NOPOS	noword	 				 	 		 	NO	.	.	reduce_unary	ROOT	reduce_binary	1	-9.294198074178478
NOPOS	noword	 				 	 				 	 		 	NO	into	IN	shift	''		2	-8.947624483898506
IN	into	 			NOPOS	noword	 				 	 		 	NO	vapor	NN	shift	''	shift	1	-9.294198074178478
NN	vapor	 			IN	into	 			NOPOS	noword	 		 	NO	the	DT	reduce_unary	NP	shift	1	-9.294198074178478
NP	vapor	NN	NN		IN	into	 			NOPOS	noword	 		 	NO	the	DT	reduce_unary	PP-TPC_BAR	reduce_unary	1	-9.294198074178478
PP-TPC_BAR	into	IN	NP		IN	into	 			NOPOS	noword	 		 	YES	the	DT	reduce_binary	PP-TPC	reduce_unary	1	-9.294198074178478
PP-TPC	into	IN	IN	NP	NOPOS	noword	 				 	 		 	YES	the	DT	shift	''	reduce_binary	1	-9.294198074178478
DT	the	 			PP-TPC	into	IN	IN	NP	NOPOS	noword	 		 	YES	water	NN	shift	''	shift	1	-9.294198074178478
NN	water	 			DT	the	 			PP-TPC	into	IN	NOPOS	noword	YES	drop	NNS	shift	''	shift	1	-9.294198074178478
NNS	drop	 			NN	water	 			DT	the	 	PP-TPC	into	YES	that	WDT	reduce_unary	NP_BAR	shift	1	-9.294198074178478
NP_BAR	drop	NNS	NNS		NN	water	 			DT	the	 	PP-TPC	into	YES	that	WDT	reduce_binary	NP_BAR	reduce_unary	1	-9.294198074178478
NP_BAR	drop	NNS	NN	NNS	DT	the	 			PP-TPC	into	IN	NOPOS	noword	YES	that	WDT	reduce_binary	NP	reduce_binary	1	-9.294198074178478
NP	drop	NNS	DT	NN	PP-TPC	into	IN	IN	NP	NOPOS	noword	 		 	YES	that	WDT	shift	''	reduce_binary	1	-9.294198074178478
WDT	that	 			NP	drop	NNS	DT	NN	PP-TPC	into	IN	NOPOS	noword	YES	dance	VBD	reduce_unary	WHNP	shift	1	-9.294198074178478
WHNP	that	WDT	WDT		NP	drop	NNS	DT	NN	PP-TPC	into	IN	NOPOS	noword	YES	dance	VBD	postulate_gap	*t*	reduce_unary	1	-9.294198074178478
-NONE-	*t*	 			WHNP	that	WDT	WDT		NP	drop	NNS	PP-TPC	into	YES	dance	VBD	reduce_unary	NP	postulate_gap	1	-9.294198074178478
NP	*t*	-NONE-	-NONE-		WHNP	that	WDT	WDT		NP	drop	NNS	PP-TPC	into	YES	dance	VBD	shift	''	reduce_unary	1	-9.294198074178478
VBD	dance	 			NP	*t*	-NONE-	-NONE-		WHNP	that	WDT	NP	drop	YES	in	IN	shift	''	shift	1	-9.294198074178478
IN	in	 			VBD	dance	 			NP	*t*	-NONE-	WHNP	that	YES	the	DT	shift	''	shift	1	-9.294198074178478
DT	the	 			IN	in	 			VBD	dance	 	NP	*t*	YES	ocean	NN	shift	''	shift	1	-9.294198074178478
NN	ocean	 			DT	the	 			IN	in	 	VBD	dance	YES	have	VBD	reduce_unary	NP_BAR	shift	1	-9.294198074178478
NP_BAR	ocean	NN	NN		DT	the	 			IN	in	 	VBD	dance	YES	have	VBD	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	ocean	NN	DT	NN	IN	in	 			VBD	dance	 	NP	*t*	YES	have	VBD	reduce_unary	PP_BAR	reduce_binary	1	-9.294198074178478
PP_BAR	in	IN	NP		IN	in	 			VBD	dance	 	NP	*t*	YES	have	VBD	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	in	IN	IN	NP	VBD	dance	 			NP	*t*	-NONE-	WHNP	that	YES	have	VBD	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	dance	VBD	PP		VBD	dance	 			NP	*t*	-NONE-	WHNP	that	YES	have	VBD	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	dance	VBD	VBD	PP	NP	*t*	-NONE-	-NONE-		WHNP	that	WDT	NP	drop	YES	have	VBD	reduce_unary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	dance	VBD	VP		NP	*t*	-NONE-	-NONE-		WHNP	that	WDT	NP	drop	YES	have	VBD	reduce_binary	S	reduce_unary	1	-9.294198074178478
S	dance	VBD	NP	VP	WHNP	that	WDT	WDT		NP	drop	NNS	PP-TPC	into	YES	have	VBD	reduce_unary	SBAR_BAR	reduce_binary	1	-9.294198074178478
SBAR_BAR	that	WDT	S		WHNP	that	WDT	WDT		NP	drop	NNS	PP-TPC	into	YES	have	VBD	reduce_binary	SBAR	reduce_unary	1	-9.294198074178478
SBAR	that	WDT	WHNP	S	NP	drop	NNS	DT	NN	PP-TPC	into	IN	NOPOS	noword	YES	have	VBD	reduce_unary	NP_BAR	reduce_binary	1	-9.294198074178478
NP_BAR	drop	NNS	SBAR		NP	drop	NNS	DT	NN	PP-TPC	into	IN	NOPOS	noword	YES	have	VBD	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	drop	NNS	NP	SBAR	PP-TPC	into	IN	IN	NP	NOPOS	noword	 		 	YES	have	VBD	shift	''	reduce_binary	1	-9.294198074178478
VBD	have	 			NP	drop	NNS	NP	SBAR	PP-TPC	into	IN	NOPOS	noword	YES	be	VBN	shift	''	shift	1	-9.294198074178478
VBN	be	 			VBD	have	 			NP	drop	NNS	PP-TPC	into	YES	change	VBN	shift	''	shift	1	-9.294198074178478
VBN	change	 			VBN	be	 			VBD	have	 	NP	drop	YES	,	,	postulate_gap	*t*	shift	1	-9.294198074178478
-NONE-	*t*	 			VBN	change	 			VBN	be	 	VBD	have	NO	,	,	reduce_unary	PP	postulate_gap	1	-9.294198074178478
